symbol,name,reason
ونيكي,سرمايه‌گذاري‌ ملي‌ايران‌,[sector] نوع صنعت نامعتبر
عپاكشو,سلف موازي گروه صنعتي پاكشو,[sector] نوع صنعت نامعتبر
خشرق,الكتريك‌ خودرو شرق‌,[warrant_rights] د
آلتون,صندوق س.پشتوانه طلاآسمان آلتون,[warrant_rights] د
جهرم0409,آتي اهرم-1404/09/26,[sector] نوع صنعت نامعتبر
خلنت,لنت‌ ترمزايران‌,[sector] نوع صنعت نامعتبر
چافست,افست‌,[sector] نوع صنعت نامعتبر
صباايده01,مرابحه ايده پردازصبادانا050929,[warrant_rights] د
رز ترنج,صندوق س.پشتوانه طلاي رز,[warrant_rights] د
كگهر,معدني و صنعتي گهرزمين,[warrant_rights] د
شيلد,صندوق س مشترك پارس-مختلط,[warrant_rights] د
جواهر,صندوق س.پشتوانه طلا دناي زاگرس,[warrant_rights] د
مشهد052,مشاركت ش مشهد052-3ماهه18%,[warrant_rights] د
جهرم0411,آتي اهرم-1404/11/29,[sector] نوع صنعت نامعتبر
بايكا,كارخانجات كابلسازي ‌ايران‌,[sector] نوع صنعت نامعتبر
ياقوت2,صندوق س ياقوت آگاه-ثابت,[warrant_rights] د
زر,صندوق س.پشتوانه طلاي زرافشان,[warrant_rights] د
اخزا202,اسنادخزانه-م2بودجه02-050923,[warrant_rights] د
فسبزوار,پارس فولاد سبزوار,[warrant_rights] د
غويتا,ويتانا,[sector] نوع صنعت نامعتبر
ارفع,شركت آهن و فولاد ارفع,[warrant_rights] د
وپست2,پست بانك ايران,[sector] نوع صنعت نامعتبر
كوچين,توليدي كوچين,[warrant_rights] د
خمهر,مهركام‌پارس‌,[sector] نوع صنعت نامعتبر
بكهنوج,توليد برق ماهتاب كهنوج,[warrant_rights] د
هم وزن,صندوق س. شاخصي كيان-س,[warrant_rights] د
مداران,داده‌پردازي‌ايران‌,[warrant_rights] د
داتام,گروه مالي داتام,[warrant_rights] د
فخوز,فولاد  خوزستان,[warrant_rights] د
آكورد,صندوق س. آرمان آتي كوثر-د,[warrant_rights] د
طبيعت061,مرابحه طبيعت سبز-كاردان060710,[warrant_rights] د
فرآور,فرآوري‌موادمعدني‌ايران‌,[warrant_rights] د
دكيمي,كيميدارو,[warrant_rights] د
پايدار06,اجاره پديده ش. پايدار14060510,[warrant_rights] د
خچرخش,چرخشگر,[sector] نوع صنعت نامعتبر
صهمدا86,صكوك مرابحه كهمدا86-3ماهه23%,[warrant_rights] د
بازده,صندوق س. بازده ثابت-د,[warrant_rights] د
حگردش,ريل گردش ايرانيان,[warrant_rights] د
خكاوه,سايپا ديزل,[warrant_rights] د
تهران042,مشاركت ش تهران042-3ماهه18%,[sector] نوع صنعت نامعتبر
فپرديس09,مرابحه پرديس آذربايجان090228,[warrant_rights] د
ملت,بيمه ملت,[sector] نوع صنعت نامعتبر
عديزل2,سلف كاميونت بهمن ديزل,[warrant_rights] د
سامان07,اجاره توسعه س. سامان14070524,[sector] نوع صنعت نامعتبر
طلوع2,صندوق س.طلوع نوين ثابت-د,[warrant_rights] د
فاسمين,كالسيمين‌,[sector] نوع صنعت نامعتبر
طبيعت072,مرابحه طبيعت سبز-مفيد070311,[warrant_rights] د
امين,تامين سرمايه امين,[sector] نوع صنعت نامعتبر
قشكر,شكر,[sector] نوع صنعت نامعتبر
پيروز,صندوق س.سهامي امين نهايت نگر-س,[warrant_rights] د
كليد,صندوق س خانه آگاه-املاك,[warrant_rights] د
وثوق,سرمايه گذاري وثوق امين,[sector] نوع صنعت نامعتبر
آسان,صندوق س.مشترك گنجينه مهر-د,[warrant_rights] د
آ س پ,آ.س.پ,[sector] نوع صنعت نامعتبر
زعف0510پ18,زعفران0510نگين بهرامن(پ),[sector] نوع صنعت نامعتبر
دقاضيح,ح.داروسازي شهيد قاضي,[warrant_rights] د
حآسا,آسيا سير ارس,[sector] نوع صنعت نامعتبر
شبندر2,پالايش نفت بندرعباس,[warrant_rights] د
بشهاب,لامپ‌  پارس‌ شهاب‌,[sector] نوع صنعت نامعتبر
سپينود,صندوق س.سهامي سپينود-س,[warrant_rights] د
سنير,سيمان‌ سفيد ني‌ريز,[warrant_rights] د
ساينا,صنايع بهداشتي ساينا,[warrant_rights] د
كقزوي,شيشه‌ قزوين‌,[sector] نوع صنعت نامعتبر
صنهال2,صندوق س. نهال ايرانيان-ثابت,[warrant_rights] د
بلور061,مرابحه بلورنوري-آگاه060403,[murabaha] مرابحه
آذرين,صندوق س.بخشي فلزات كيميا-ب,[warrant_rights] د
صايپا409,صكوك مرابحه صايپا409-3ماهه 18%,[murabaha] مرابحه
سمگا061,مرابحه سمگا-دماوند060907,[warrant_rights] د
صشستا512,صكوك اجاره شستا512-6ماهه20%,[sector] نوع صنعت نامعتبر
وفتخار,سرمايه گذاري افتخار سهام,[sector] نوع صنعت نامعتبر
اتوآگاه,صندوق س صنايع آگاه2-بخشي,[warrant_rights] د
تابان27,اجاره تابان فردا تمدن14080919,[warrant_rights] د
واعتبار,سرمايه گذاري اعتبار ايران,[sector] نوع صنعت نامعتبر
رويين,صندوق س.بخشي صنايع سورنا1-ب,[warrant_rights] د
مشير062,مشاركت ش شيراز062-3ماهه20.5%,[sector] نوع صنعت نامعتبر
صنايع ايران05,مرابحه قطعات صنايع14051222,[murabaha] مرابحه
صفولا12,صكوك اجاره فولاد12-بدون ضامن,[warrant_rights] د
زروان,صندوق س.پشتوانه طلازروان ويستا,[warrant_rights] د
دسانكو,داروسازي سبحان انكولوژي,[warrant_rights] د
وتوسكا,سرمايه گذاري توسعه توكا,[sector] نوع صنعت نامعتبر
صدوچرخ56,صكوك مرابحه دوچرخ56-3ماهه 18%,[warrant_rights] د
صاف فيلم51,مرابحه صاف فيلم كاردان051116,[warrant_rights] د
نيشكر,توسعه نيشكر و  صنايع جانبي,[sector] نوع صنعت نامعتبر
راه مبين06,مرابحه راه سازي مبين060216,[murabaha] مرابحه
عسرو,سلف موازي كاتاليست اكتيو آهن,[sector] نوع صنعت نامعتبر
غصينو,صنعتي مينو,[sector] نوع صنعت نامعتبر
پيشران,صندوق س پيشران پارسيان-اهرمي,[warrant_rights] د
عسنگ3,سلف استاندارد سنگ آهن مركزي,[warrant_rights] د
عسيرجان3,سلف كلوخه سنگ آهن سيرجان3,[sector] نوع صنعت نامعتبر
اراد2044,مرابحه عام دولت204-ش.خ060707,[warrant_rights] د
وغدير,سرمايه‌گذاري‌غدير(هلدينگ‌,[warrant_rights] د
دلقما,دارويي‌ لقمان‌,[warrant_rights] د
كاله53,مرابحه سوليكو كاله كارون051117,[murabaha] مرابحه
تصميم,صندوق س با درآمد ثابت تصميم,[warrant_rights] د
اوصتا,صندوق انديشه ورزان صباتامين -د,[warrant_rights] د
پرتوسا,صندوق س.سهامي پرتو آمال-س,[warrant_rights] د
مصفها602,مشاركت ش اصفهان602-3ماهه20.5%,[sector] نوع صنعت نامعتبر
ديار,صندوق س.مشترك ديار-سهام,[warrant_rights] د
شكربن,كربن‌ ايران‌,[sector] نوع صنعت نامعتبر
بترانسح,ح . ايران‌ ترانسفو,[sector] نوع صنعت نامعتبر
كباده,توليد خاك نسوزاستقلال آباده,[warrant_rights] د
دالبر,البرزدارو,[warrant_rights] د
رابين,صندوق س. توسعه افق رابين-د,[warrant_rights] د
والماس,س. الماس حكمت ايرانيان,[sector] نوع صنعت نامعتبر
صفارس8,صكوك اجاره فارس8-بدون ضامن,[warrant_rights] د
نشان,صندوق س. نشان هامرز-د,[warrant_rights] د
اصيل,صندوق درآمدثابت مشترك البرز-د,[warrant_rights] د
صگل059,صكوك اجاره كگل059-بدون ضامن,[warrant_rights] د
دارونو,صندوق س صنايع مفيد5-بخشي,[warrant_rights] د
غچين,كشت‌ و صنعت‌ چين‌ چين,[sector] نوع صنعت نامعتبر
ترنج ثابت,ص.س.درآمد ثابت ترنج سودمند-د,[warrant_rights] د
بپاس,بيمه پاسارگاد,[warrant_rights] د
كگهر073,اجاره گهرزمين كاردان14070822,[warrant_rights] د
توان,صندوق س. اهرمي توان مفيد-س,[warrant_rights] د
صتوصا702,صكوك مرابحه وتوصا702-3ماهه23%,[murabaha] مرابحه
مشهد512,مشاركت ش مشهد512-3ماهه18%,[warrant_rights] د
نوين,بيمه نوين,[sector] نوع صنعت نامعتبر
صالبر610,صكوك مرابحه دالبر610-3ماهه23%,[warrant_rights] د
الكتروماد,صنايع الكترونيك ماديران,[warrant_rights] د
عرش,صندوق س.عرش ميلاد شهر-س,[warrant_rights] د
چدن4,توليدي چدن سازان,[warrant_rights] د
كرمان5125,مرابحه كرمان موتور-ويستا051223,[murabaha] مرابحه
آرمان ارگ071,مرابحه آرمان ارگ-كارآمد071221,[warrant_rights] د
صخوز0042,صكوك مرابحه فخوز0042-بدون ضامن,[warrant_rights] د
طبيعت064,مرابحه طبيعت سبز-كارون060710,[murabaha] مرابحه
صتوصا712,صكوك مرابحه وتوصا712-3ماهه23%,[murabaha] مرابحه
ويستا,صندوق س. ويستا -س,[warrant_rights] د
مقدم071,مرابحه مقدم-لوتوس071128,[warrant_rights] د
غالبر,لبنيات‌ كالبر,[sector] نوع صنعت نامعتبر
وبصادر,بانك صادرات ايران,[warrant_rights] د
تاصيكو4,سرمايه گذاري صدرتامين,[warrant_rights] د
پارتا,مجتمع صنعتي آرتاويل تاير,[sector] نوع صنعت نامعتبر
خزر,فنرسازي‌زر,[sector] نوع صنعت نامعتبر
ومشان,س. فني و مهندسي مشانير,[warrant_rights] د
شيمي پارسيان08,مرابحه شيميايي پارسيان080116,[murabaha] مرابحه
رويش,ص.س.جسورانه رويش لوتوس,[investment] ص.س.
مشير042,مشاركت ش شيراز042-3ماهه18%,[sector] نوع صنعت نامعتبر
آگاس,صندوق س.هستي بخش آگاه-س,[warrant_rights] د
تفيرو,مهندسي فيروزا,[warrant_rights] د
تملي1402,امتيازتسهيلات ملي سال 1402,[housing] تس
نفيس,صندوق س.پشتوانه طلاي صبا,[warrant_rights] د
اونيكس,ص.س.درآمد ثابت كيميا-د,[warrant_rights] د
رفاه,فروشگاه هاي زنجيره اي رفاه,[sector] نوع صنعت نامعتبر
اراد243,مرابحه عام دولت243-ش.خ070906,[warrant_rights] د
حيان06,مرابحه داروساز پارس حيان060911,[warrant_rights] د
بهامرز,بيمه زندگي هامرز,[warrant_rights] د
خصدرا,صنعتي‌ دريايي‌ ايران‌,[warrant_rights] د
پخش,پخش البرز,[sector] نوع صنعت نامعتبر
آسود,ص.س.درآمد ثابت آرمان اقتصاد-د,[warrant_rights] د
صرزم0411,صكوك اجاره خوارزم0411-6ماهه20%,[forex_crypto] ارز
دي,بانك دي,[warrant_rights] د
دبالك,مواد اوليه دارويي البرز بالك,[warrant_rights] د
اراد232,مرابحه عام دولت232-ش.خ070725,[warrant_rights] د
چنوپا,نيوپان‌ 22 بهمن‌,[sector] نوع صنعت نامعتبر
پرديس,سرمايه گذاري پرديس,[warrant_rights] د
سيرنگ07,مرابحه توليدي سيرنگ070210,[warrant_rights] د
بنو,بيمه تجارت نو,[sector] نوع صنعت نامعتبر
غگيلا,شيرپاستوريزه پگاه گيلان,[sector] نوع صنعت نامعتبر
ليان,صندوق س.پشتوانه طلاي ليان,[warrant_rights] د
طفار1208,اختيارف فارس-12000-1404/12/13,[sector] نوع صنعت نامعتبر
طخود0153,اختيارف خودرو-750-1405/01/11,[warrant_rights] د
سدبير2,س. تدبيرگران فارس وخوزستان,[warrant_rights] د
طكاريس1000,اختيارف كاريس-22000-14041015,[sector] نوع صنعت نامعتبر
بسپار06,مرابحه بسپارشيمي سپيدان061020,[warrant_rights] د
ضتاب1125,اختيارخ شتاب-15000-1404/11/08,[sector] نوع صنعت نامعتبر
ضتاب1119,اختيارخ شتاب-9000-1404/11/08,[sector] نوع صنعت نامعتبر
ضذوب1012,اختيارخ ذوب-260-1404/10/17,[sector] نوع صنعت نامعتبر
سيستم4,همكاران سيستم,[sector] نوع صنعت نامعتبر
نخل,صندوق س.خليج فارس-د,[warrant_rights] د
ثروت,ص.خ.ثروت آفرين فيروزه,[sector] نوع صنعت نامعتبر
طپناه904,اختيارف پناه-13000-14040923,[sector] نوع صنعت نامعتبر
ضطعام1001,اختيارخ طعام-8000-14041015,[sector] نوع صنعت نامعتبر
مهيا061,مرابحه مهيا پروتئين-آگاه061003,[murabaha] مرابحه
مبين,مبين انرژي خليج فارس,[sector] نوع صنعت نامعتبر
ضصاد9030,اختيارخ وبصادر-550-1404/09/19,[warrant_rights] د
فغدير,آهن و فولاد غدير ايرانيان,[warrant_rights] د
قجام,فرآوردههاي غذايي وقندتربت‌جام‌,[warrant_rights] د
طخاور910,اختيارف خاور-1300-14040930,[sector] نوع صنعت نامعتبر
ضاطلس100009,اختيارخ اطلس-90000-14041021,[sector] نوع صنعت نامعتبر
طرويين904,اختيارف رويين-10000-14040930,[sector] نوع صنعت نامعتبر
طپادا1025,اختيارف پادا-260000-14041007,[warrant_rights] د
طاطلس100008,اختيارف اطلس-85000-14041021,[sector] نوع صنعت نامعتبر
طفزر1223,اختيارف فزر-120000-14041210,[sector] نوع صنعت نامعتبر
صترا710,صكوك مرابحه بترانس710-3ماهه23%,[murabaha] مرابحه
ضپادا1019,اختيارخ پادا-200000-14041007,[warrant_rights] د
طتاص1106,اختيارف تاصيكو-10000-04/11/01,[sector] نوع صنعت نامعتبر
ضتوان1106,اختيارخ توان-28000-14041126,[sector] نوع صنعت نامعتبر
طفار1002,اختيارف فارس-7000-1404/10/10,[sector] نوع صنعت نامعتبر
صآريا62,صكوك مرابحه كيمياتك62بدون ضامن,[warrant_rights] د
سهرمز,سيمان‌هرمزگان‌,[sector] نوع صنعت نامعتبر
تيپيكو,سرمايه گذاري دارويي تامين,[warrant_rights] د
صخوز42,صكوك مرابحه فخوز42-بدون ضامن,[warrant_rights] د
ضستا1136,اختيارخ شستا-810-1404/11/08,[sector] نوع صنعت نامعتبر
مهرگان,گروه مالي مهرگان تامين پارس,[sector] نوع صنعت نامعتبر
بزاگرس,نيروگاه زاگرس كوثر,[sector] نوع صنعت نامعتبر
مشير602,مشاركت ش شيراز602-3ماهه20.5%,[sector] نوع صنعت نامعتبر
انار,صندوق س.انارنماد ارزش-درسهام,[warrant_rights] د
نمرينو,ايران‌ مرينوس‌,[sector] نوع صنعت نامعتبر
طتوان1017,اختيارف توان-20000-14041021,[sector] نوع صنعت نامعتبر
نارين,صندوق س ارزش آفرين فولاد-سهام,[warrant_rights] د
حرهشا,رهشاد سپاهان (سهامي عام,[warrant_rights] د
ضران1011,اختيارخ خودران-16000-04/10/24,[warrant_rights] د
ضجهش1110,اختيارخ جهش-20000-1404/11/14,[sector] نوع صنعت نامعتبر
طستا1242,اختيارف شستا-1610-1404/12/13,[sector] نوع صنعت نامعتبر
مصفها062,مشاركت ش اصفهان062-3ماهه 20.5%,[sector] نوع صنعت نامعتبر
پتروصبا,صندوق س صنايع انديشه صبا1-بخشي,[warrant_rights] د
ضمخا9011,اختيارخ اخابر-650-1404/09/19,[sector] نوع صنعت نامعتبر
ضسپا1142,اختيارخ خساپا-700-1404/11/29,[sector] نوع صنعت نامعتبر
آوند,صندوق س. آوند مفيد-د,[warrant_rights] د
ضفلا1402,اختيارخ فولاد-1800-1404/11/08,[warrant_rights] د
طسپا0120,اختيارف خساپا-600-1405/01/26,[sector] نوع صنعت نامعتبر
ضفلا0133,اختيارخ فولاد-4000-1405/01/19,[warrant_rights] د
ططعام1010,اختيارف طعام-15000-14041015,[sector] نوع صنعت نامعتبر
سپنتارود,ص.س.د.ثابت ماه آفريد سپينود-د,[warrant_rights] د
طتاص1101,اختيارف تاصيكو-6500-04/11/01,[sector] نوع صنعت نامعتبر
طاطلس100004,اختيارف اطلس-65000-14041021,[sector] نوع صنعت نامعتبر
ضستا2055,اختيارخ شستا-1800-1405/02/09,[sector] نوع صنعت نامعتبر
فارماني,صندوق س آرمان آتي- بخشي,[warrant_rights] د
ولقمان,گروه سرمايه گذاري لقمان,[sector] نوع صنعت نامعتبر
ضستر1036,اختيارخ خگستر-5000-1404/10/03,[sector] نوع صنعت نامعتبر
طملي0123,اختيارف فملي-6000-1405/01/11,[sector] نوع صنعت نامعتبر
طخود2070,اختيارف خودرو-650-1405/02/02,[warrant_rights] د
ضفار1003,اختيارخ فارس-7500-1404/10/10,[sector] نوع صنعت نامعتبر
ساوه,سيمان ساوه,[sector] نوع صنعت نامعتبر
جم,پتروشيمي جم,[sector] نوع صنعت نامعتبر
طوتعاون1110,اختيارف وتعاون-2600-14041126,[sector] نوع صنعت نامعتبر
مثقال,صندوق س.پشتوانه طلاي زرين آگاه,[warrant_rights] د
طبساما1116,اختيارف بساما-7000-14041105,[sector] نوع صنعت نامعتبر
ضخاور902,اختيارخ خاور-750-14040930,[sector] نوع صنعت نامعتبر
ضفصبا1135,اختيارخ فصبا-2400-14041105,[sector] نوع صنعت نامعتبر
پيزد,مجتمع صنايع لاستيك يزد,[warrant_rights] د
ضستا2051,اختيارخ شستا-1400-1405/02/09,[sector] نوع صنعت نامعتبر
