symbol,name,reason
كيان4,صندوق س. با درآمد ثابت كيان,blacklist_name
يارا,صندوق س. آريا-د,blacklist_name
پارسان,گسترش نفت و گاز پارسيان,no_signals_or_low_gain
سخوز2,سيمان خوزستان,no_signals_or_low_gain
عيار4,صندوق طلاي عيار مفيد,blacklist_name
اراد225,مرابحه عام دولت225-ش.خ060814,blacklist_name
ليان,صندوق س.پشتوانه طلاي ليان,blacklist_name
كوچين,توليدي كوچين,no_signals_or_low_gain
اوصتا,صندوق انديشه ورزان صباتامين -د,blacklist_name
زمرد,صندوق س.كالاي زمرد بيدار,blacklist_name
اراد2434,مرابحه عام دولت243-ش.خ070906,blacklist_name
شپنا,پالايش نفت اصفهان,no_signals_or_low_gain
اطلس,صندوق س.توسعه اطلس مفيد-س,blacklist_name
دوايكس,ص.س.اهرمي شاخصي كيان-س,blacklist_name
تاپيكو,س. نفت و گاز و پتروشيمي تأمين,no_signals_or_low_gain
داريك,صندوق س.اعتماد داريك-د,blacklist_name
آكورد,صندوق س. آرمان آتي كوثر-د,blacklist_name
شيلد,صندوق س مشترك پارس-مختلط,blacklist_name
زرفام,صندوق س.پشتوانه طلا زرفام آشنا,blacklist_name
تابش,صندوق س.پشتوانه طلا تابان تمدن,blacklist_name
اصيل,صندوق درآمدثابت مشترك البرز-د,blacklist_name
امين شهر,ص.س. املاك و مستغلات امين شهر,blacklist_name
آلومينا,آلوميناي ايران,no_signals_or_low_gain
ساحل,ص.ساحل سرمايه امن خليج فارس-د,blacklist_name
زروان,صندوق س.پشتوانه طلازروان ويستا,blacklist_name
همسنگ,صندوق س. شاخصي هم وزن همسنگ-س,blacklist_name
وغدير,سرمايه‌گذاري‌غدير(هلدينگ‌,no_signals_or_low_gain
ديبا,صندوق س اوراق دولتي صبا-ثابت,blacklist_name
كچاد,معدني‌وصنعتي‌چادرملو,no_signals_or_low_gain
ثفارس,عمران‌وتوسعه‌فارس‌,no_signals_or_low_gain
تپسي,پيشگامان فن آوري و دانش آراميس,no_signals_or_low_gain
خزانه ملت,صندوق س.مختص اوراق دولتي ملت-د,blacklist_name
تسه1404,امتياز تسهيلات مسكن سال1404,blacklist_name
زرگر,صندوق س.كالاي زرگر كارآمد,blacklist_name
زر,صندوق س.پشتوانه طلاي زرافشان,blacklist_name
ستران,سيمان‌ تهران‌,no_signals_or_low_gain
شميم,صندوق س.درآمدثابت شميم تابان-د,blacklist_name
وصندوق,سرمايه‌گذاري‌صندوق‌بازنشستگي‌,blacklist_name
جم2,پتروشيمي جم,no_signals_or_low_gain
پارند,صندوق س. پارند پايدار سپهر,blacklist_name
ضملت9030,اختيارخ وبملت-1100-1404/09/19,no_signals_or_low_gain
سامان2,بانك سامان,no_signals_or_low_gain
كيسون,شركت كيسون,no_signals_or_low_gain
شلرد,كود شيميايي اوره لردگان,no_signals_or_low_gain
سام,صندوق س.درآمد ثابت سام-د,blacklist_name
كگل,معدني و صنعتي گل گهر,no_signals_or_low_gain
جام,صندوق س.مبتني بر كالاي فارابي,blacklist_name
سكه0412پ03,تمام سكه طرح جديد0412 سامان,no_signals_or_low_gain
تمشك,صندوق س تمشك نماد رشد-در صندوق,blacklist_name
نهال,صندوق س. طلاي سرخ نوويرا,blacklist_name
سيناد,صندوق س.سپهرسودمند سينا-د,blacklist_name
وسپه,سرمايه‌گذاري‌ سپه‌,no_signals_or_low_gain
گلدا,صندوق س.پشتوانه طلاي پاداش,blacklist_name
ارمغان,ص سرمايه گذاري ارمغان ايرانيان,no_signals_or_low_gain
بجهرم,توسعه مولد نيروگاهي جهرم,no_signals_or_low_gain
فيروزه,صندوق شاخص30 شركت فيروزه- سهام,blacklist_name
گنجين,صندوق س. گنجينه يكم آويد-د,blacklist_name
ناب4,صندوق س.پشتوانه طلا نهايت نگر,blacklist_name
رمپنا,گروه مپنا (سهامي عام),no_signals_or_low_gain
كالا,بورس كالاي ايران,no_signals_or_low_gain
خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,no_signals_or_low_gain
سپيدما,صندوق س. سپيد دماوند-د,blacklist_name
دماوند,توليد نيروي برق دماوند,no_signals_or_low_gain
زيتون,صندوق س زيتون نماد پايا- مختلط,blacklist_name
حكشتي,كشتيراني جمهوري اسلامي ايران,no_signals_or_low_gain
امرالد,صندوق س.پشتوانه طلاي كيميا,blacklist_name
وپارس,بانك‌پارسيان‌,no_signals_or_low_gain
قيراط,صندوق س.پشتوانه طلاي دماوند,blacklist_name
كرمان,س. توسعه و عمران استان كرمان,no_signals_or_low_gain
كاما,باما,no_signals_or_low_gain
كاج4,صندوق س. نوع دوم نو ويرا -د,blacklist_name
ضهرم1126,اختيارخ اهرم-34000-1404/11/29,no_signals_or_low_gain
سدبير,س. تدبيرگران فارس وخوزستان,no_signals_or_low_gain
تاصيكو,سرمايه گذاري صدرتامين,no_signals_or_low_gain
شبريز,پالايش نفت تبريز,no_signals_or_low_gain
سحرخيز,صندوق س. گروه زعفران سحرخيز,blacklist_name
خزاميا,زامياد,no_signals_or_low_gain
كزغال,زغال سنگ پروده طبس,no_signals_or_low_gain
دعبيد,لابراتوارداروسازي‌  دكترعبيدي‌,no_signals_or_low_gain
فارما كيان,صندوق س. بخشي كيان-ب,blacklist_name
ورنا,سرمايه‌گذاري‌ رنا(هلدينگ‌,no_signals_or_low_gain
خاور,ايران خودرو ديزل,no_signals_or_low_gain
كمند4,صندوق س. با درآمد ثابت كمند,blacklist_name
حفاري,حفاري شمال,no_signals_or_low_gain
تصميم,صندوق س با درآمد ثابت تصميم,blacklist_name
رشد,صندوق س.رشد پايدار آبان-د,blacklist_name
زمرد كوروش,صندوق س زمرد كوروش-ثابت,blacklist_name
ثابت اكسيژن,ص.س.درآمد ثابت اكسيژن-د,blacklist_name
ضستا1052,اختيارخ شستا-1410-1404/10/10,no_signals_or_low_gain
شبندر2,پالايش نفت بندرعباس,no_signals_or_low_gain
شسپا,نفت سپاهان,no_signals_or_low_gain
هم وزن,صندوق س. شاخصي كيان-س,blacklist_name
ماهور4,صندوق سرمايه گذاري ماهور-ثابت,blacklist_name
صمپنا67,صكوك اجاره مپنا67-3ماهه23%,no_signals_or_low_gain
فسبزوار2,پارس فولاد سبزوار,no_signals_or_low_gain
ونيرو,سرمايه‌گذاري‌نيرو,no_signals_or_low_gain
بوعلي,پتروشيمي بوعلي سينا,no_signals_or_low_gain
بپاس,بيمه پاسارگاد,no_signals_or_low_gain
سمگا,گروه سرمايه گذاري ميراث فرهنگي,no_signals_or_low_gain
غالبر,لبنيات‌ كالبر,no_signals_or_low_gain
مهرگان,گروه مالي مهرگان تامين پارس,no_signals_or_low_gain
زاگرس,پتروشيمي زاگرس,no_signals_or_low_gain
دارونو,صندوق س صنايع مفيد5-بخشي,blacklist_name
رابين,صندوق س. توسعه افق رابين-د,blacklist_name
كرماشا,صنايع پتروشيمي كرمانشاه,no_signals_or_low_gain
دي,بانك دي,no_signals_or_low_gain
آگاس,صندوق س.هستي بخش آگاه-س,blacklist_name
ماني,صندوق س. با درآمد ثابت ماني,blacklist_name
ضهرم1125,اختيارخ اهرم-30000-1404/11/29,no_signals_or_low_gain
نيشكر,توسعه نيشكر و  صنايع جانبي,no_signals_or_low_gain
فباهنر,مس‌ شهيدباهنر,no_signals_or_low_gain
وپست2,پست بانك ايران,no_signals_or_low_gain
مالك آتيه,ص.س.املاك و مستغلات مالك آتيه,blacklist_name
