,,,,,,,,,,,,,,,,,,,,,,
دیده بان بازار : 1404/09/19 - زمان آخرین معامله : 16:50:47,,,,,,,,,,,,,,,,,,,,,,
نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین,EPS,P/E,خرید - تعداد,خرید - حجم,خرید - قیمت,فروش - قیمت,فروش - حجم,فروش - تعداد
ديار,صندوق س.مشترك ديار-سهام,10,1900591,21319568280,11340,11200,11230,-110.00,-0.97,11220,-120.00,-1.06,11110,11400,,,1,50000,11000,11550,500,1
شراز,پالايش نفت شيراز,1444,3839583,1.05832E+11,27800,27800,27420,-380.00,-1.37,27560,-240.00,-0.86,26970,27960,5666,4.86,2,900,27330,27420,60000,3
شكربن,كربن‌ ايران‌,477,11346482,79610083040,6820,6880,7020,200.00,2.93,7020,200.00,2.93,6880,7020,1190,5.9,2,4355,7010,7030,2500,2
بترانسح,ح . ايران‌ ترانسفو,1424,100136695,1.1472E+11,1117,1107,1150,33.00,2.95,1146,29.00,2.60,1102,1150,,,15,1171893,1150,1152,3861,3
كباده,توليد خاك نسوزاستقلال آباده,43,426667,6037338050,13740,14150,14150,410.00,2.98,14150,410.00,2.98,14150,14150,2252,6.28,22,492783,14150,0,0,0
دالبر,البرزدارو,119,8394159,35549263365,4112,4235,4235,123.00,2.99,4235,123.00,2.99,4235,4235,0,,33,7133372,4235,0,0,0
رابين,صندوق س. توسعه افق رابين-د,339,15986593,3.52679E+11,22034,22062,22062,28.00,0.13,22061,27.00,0.12,22057,22062,,,2,110514580,22061,22062,11047967,1
والماس,س. الماس حكمت ايرانيان,107,3539540,6097552365,1717,1676,1740,23.00,1.34,1719,2.00,0.12,1676,1750,434,3.96,2,148912,1740,1742,15000,1
صفارس8,صكوك اجاره فارس8-بدون ضامن,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,7000,950000,0,0,0
نشان,صندوق س. نشان هامرز-د,310,71598369,1.78241E+12,24864,24894,24895,31.00,0.12,24895,31.00,0.12,24894,24895,,,10,100000000,24894,24895,3307023,4
اصيل,صندوق درآمدثابت مشترك البرز-د,147,55836530,9.49392E+11,16982,17003,17004,22.00,0.13,17003,21.00,0.12,17003,17004,,,1,43540330,17003,17004,4660868,1
صگل059,صكوك اجاره كگل059-بدون ضامن,0,0,0,1010000,0,1010000,0,0,1010000,0,0,0,0,,,1,8000,1000000,1010000,8000,1
دارونو,صندوق س صنايع مفيد5-بخشي,876,25206194,3.54735E+11,13680,13750,14090,410.00,3.00,14070,390.00,2.85,13750,14090,,,2,31702,14030,20000,242,3
غچين,كشت‌ و صنعت‌ چين‌ چين,232,2601715,10969486148,4198,4200,4288,90.00,2.14,4211,13.00,0.31,4105,4322,379,11.11,1,3100,4205,4260,8000,1
ترنج ثابت,ص.س.درآمد ثابت ترنج سودمند-د,123,6210610,63169163656,10157,10171,10171,14.00,0.14,10171,14.00,0.14,10171,10172,,,1,50000000,10171,10172,1830156,1
بپاس,بيمه پاسارگاد,1332,63188604,3.88535E+11,5980,6150,6150,170.00,2.84,6150,170.00,2.84,6100,6150,225,27.33,85,5520271,6150,6260,200000,1
كگهر073,اجاره گهرزمين كاردان14070822,0,0,0,857380,0,857380,0,0,857380,0,0,0,0,,,1,100000,857380,0,0,0
توان,صندوق س. اهرمي توان مفيد-س,9807,157990064,4.41036E+12,27282,26950,28001,719.00,2.64,27915,633.00,2.32,26950,28369,,,1,209,27986,28064,358,1
صتوصا702,صكوك مرابحه وتوصا702-3ماهه23%,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,2,11000,1000000,0,0,0
مشهد512,مشاركت ش مشهد512-3ماهه18%,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,10000,950000,0,0,0
نوين,بيمه نوين,337,6313319,14458541570,2282,2320,2303,21.00,0.92,2290,8.00,0.35,2261,2330,884,2.59,1,179463,2302,2303,6452,1
صالبر610,صكوك مرابحه دالبر610-3ماهه23%,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,5000,1000000,1010000,1995,1
الكتروماد,صنايع الكترونيك ماديران,2524,39050964,1.68358E+11,4191,4252,4287,96.00,2.29,4311,120.00,2.86,4249,4316,945,4.56,1,2699,4287,4290,773,2
عرش,صندوق س.عرش ميلاد شهر-س,5,3400,43321800,12608,12678,12602,-6.00,-0.05,12742,134.00,1.06,12602,12819,,,1,99000,12313,12818,2400,1
چدن4,توليدي چدن سازان,3,43227,78802821,1774,1823,1823,49.00,2.76,1823,49.00,2.76,1823,1823,372,4.9,0,0,0,0,0,0
كرمان5125,مرابحه كرمان موتور-ويستا051223,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,5000,970000,0,0,0
آرمان ارگ071,مرابحه آرمان ارگ-كارآمد071221,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,5000,950000,1050000,5000,1
صخوز0042,صكوك مرابحه فخوز0042-بدون ضامن,0,0,0,958000,0,958000,0,0,958000,0,0,0,0,,,1,7500,963000,972000,7500,1
طبيعت064,مرابحه طبيعت سبز-كارون060710,0,0,0,1007000,0,1007000,0,0,1007000,0,0,0,0,,,1,5000,999900,0,0,0
صتوصا712,صكوك مرابحه وتوصا712-3ماهه23%,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,1500,1000000,0,0,0
ويستا,صندوق س. ويستا -س,4,2443,66140700,26959,26915,27180,221.00,0.82,27074,115.00,0.43,26915,27180,,,1,15000,26915,27180,200,1
مقدم071,مرابحه مقدم-لوتوس071128,0,0,0,891000,0,891000,0,0,891000,0,0,0,0,,,1,5000,847000,855000,5000,1
غالبر,لبنيات‌ كالبر,997,7882048,3.7287E+11,46070,47410,47450,"1,380.00",3.00,47310,"1,240.00",2.69,46110,47450,-968,-48.87,3,10107,47210,47450,2000,1
وبصادر,بانك صادرات ايران,9287,1441592075,8.58347E+11,581,581,598,17.00,2.93,595,14.00,2.41,581,598,65,9.15,5,966660,598,599,10000,1
تاصيكو4,سرمايه گذاري صدرتامين,19,37589,455578680,12070,12120,12120,50.00,0.41,12120,50.00,0.41,12120,12120,1060,11.43,0,0,0,12120,2744,1
پارتا,مجتمع صنعتي آرتاويل تاير,205,788716,6466714750,8200,8280,8190,-10.00,-0.12,8200,0,0,8120,8280,1277,6.42,3,115582,8180,8200,5154,1
خزر,فنرسازي‌زر,137,6873508,11932409888,1686,1736,1736,50.00,2.97,1721,35.00,2.08,1736,1736,375,4.59,34,3811777,1736,0,0,0
ومشان,س. فني و مهندسي مشانير,67,731898,8636531670,12160,11800,11800,-360.00,-2.96,12150,-10.00,-0.08,11800,11840,0,,0,0,0,11800,122812,6
شيمي پارسيان08,مرابحه شيميايي پارسيان080116,0,0,0,839000,0,839000,0,0,839000,0,0,0,0,,,1,5000,827000,835000,10000,1
رويش,ص.س.جسورانه رويش لوتوس,0,0,0,2560810,0,2560811,1.00,0,2560810,0,0,0,0,,,1,450,2617890,3129854,500,1
مشير042,مشاركت ش شيراز042-3ماهه18%,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,5000,882000,0,0,0
آگاس,صندوق س.هستي بخش آگاه-س,1431,1388240,3.42144E+11,242362,240200,247260,"4,898.00",2.02,246459,"4,097.00",1.69,240199,248500,,,1,2117,247260,247271,5202,1
تفيرو,مهندسي فيروزا,1,1,144650,143250,144650,144650,"1,400.00",0.98,143250,0,0,144650,144650,3451,41.51,6,57039,144650,0,0,0
تملي1402,امتيازتسهيلات ملي سال 1402,2,77,79310000,1051762,1030000,1030000,"-21,762.00",-2.07,1030000,"-21,762.00",-2.07,1030000,1030000,,,2,10,1030000,1104350,125,4
نفيس,صندوق س.پشتوانه طلاي صبا,1126,2422042,1.76701E+11,73328,72000,73595,267.00,0.36,72955,-373.00,-0.51,71300,73990,,,4,2902,73480,73596,49740,2
اونيكس,ص.س.درآمد ثابت كيميا-د,2405,369365791,7.14677E+12,19324,19349,19350,26.00,0.13,19349,25.00,0.13,19347,19374,,,9,84223804,19349,19350,32350377,4
رفاه,فروشگاه هاي زنجيره اي رفاه,21,10819,519312000,47100,48000,48000,900.00,1.91,47150,50.00,0.11,48000,48000,1103,42.75,7,50152,48000,53850,6814,2
اراد243,مرابحه عام دولت243-ش.خ070906,0,0,0,923160,0,923160,0,0,923160,0,0,0,0,,,0,0,0,877010,5000,1
حيان06,مرابحه داروساز پارس حيان060911,0,0,0,931500,0,931500,0,0,931500,0,0,0,0,,,1,5000,931500,940810,5000,1
بهامرز,بيمه زندگي هامرز,132,20417446,56332223755,2842,2816,2760,-82.00,-2.89,2759,-83.00,-2.92,2757,2816,113,24.42,2,1179645,2757,2915,17552,4
خصدرا,صنعتي‌ دريايي‌ ايران‌,909,57431796,1.36878E+11,2389,2410,2368,-21.00,-0.88,2383,-6.00,-0.25,2351,2430,290,8.22,1,100000,2351,2370,205878,6
پخش,پخش البرز,929,25329797,1.95617E+11,7510,7640,7720,210.00,2.80,7720,210.00,2.80,7500,7730,1413,5.46,1,758,7710,7780,131000,4
آسود,ص.س.درآمد ثابت آرمان اقتصاد-د,37,285998,3796946718,13262,13276,13277,15.00,0.11,13276,14.00,0.11,13276,13277,,,1,10000000,13276,13277,2272578,1
صرزم0411,صكوك اجاره خوارزم0411-6ماهه20%,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,3000,950000,0,0,0
دي,بانك دي,1541,283586118,3.45691E+11,1184,1219,1219,35.00,2.96,1219,35.00,2.96,1219,1219,-165,-7.39,794,428183447,1219,0,0,0
دبالك,مواد اوليه دارويي البرز بالك,336,11376727,55782688406,4777,4890,4920,143.00,2.99,4903,126.00,2.64,4750,4920,437,11.22,4,349612,4920,0,0,0
اراد232,مرابحه عام دولت232-ش.خ070725,0,0,0,795900,0,795900,0,0,795900,0,0,0,0,,,0,0,0,806200,135000,1
چنوپا,نيوپان‌ 22 بهمن‌,345,3449115,60531968250,17050,17550,17550,500.00,2.93,17550,500.00,2.93,17550,17550,412,42.6,212,5162665,17550,21400,4793,2
پرديس,سرمايه گذاري پرديس,285,8743353,16496459870,1863,1842,1900,37.00,1.99,1887,24.00,1.29,1842,1910,612,3.08,1,48000,1885,1904,400000,1
سيرنگ07,مرابحه توليدي سيرنگ070210,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,5000,990000,0,0,0
بنو,بيمه تجارت نو,134,8193918,12675523400,1502,1547,1547,45.00,3.00,1536,34.00,2.26,1546,1547,263,5.84,9,289749,1547,0,0,0
غگيلا,شيرپاستوريزه پگاه گيلان,426,1114595,19883734940,17790,17560,17900,110.00,0.62,17840,50.00,0.28,17560,18240,1285,13.88,1,100000,17830,17870,339,1
ليان,صندوق س.پشتوانه طلاي ليان,2904,49987706,1.16155E+12,23369,22980,23460,91.00,0.39,23237,-132.00,-0.56,22839,23534,,,8,511892,23459,23499,30000,1
طفار1208,اختيارف فارس-12000-1404/12/13,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,33,33,0,0,0
طخود0153,اختيارف خودرو-750-1405/01/11,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,11,51,0,0,0
سدبير2,س. تدبيرگران فارس وخوزستان,1,2580000,89268000000,35400,34600,34600,-800.00,-2.26,34600,-800.00,-2.26,34600,34600,-794,-43.58,0,0,0,0,0,0
طكاريس1000,اختيارف كاريس-22000-14041015,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,80,20,1
بسپار06,مرابحه بسپارشيمي سپيدان061020,0,0,0,874900,0,874900,0,0,874900,0,0,0,0,,,1,20000,870000,878000,20000,1
ضتاب1125,اختيارخ شتاب-15000-1404/11/08,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,12,2,0,0,0
ضتاب1119,اختيارخ شتاب-9000-1404/11/08,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,10,21,0,0,0
ضذوب1012,اختيارخ ذوب-260-1404/10/17,9,762,109540000,150,142,150,0,0,144,-6.00,-4.00,142,160,,,1,10,146,158,601,1
سيستم4,همكاران سيستم,1,10000,382400000,37660,38240,38240,580.00,1.54,38240,580.00,1.54,38240,38240,2688,14.23,21,147167,38240,0,0,0
نخل,صندوق س.خليج فارس-د,20,185855,1885682349,10132,10145,10146,14.00,0.14,10146,14.00,0.14,10145,10146,,,4,100026381,10145,10146,29823636,1
ثروت,ص.خ.ثروت آفرين فيروزه,0,0,0,1009171,0,1010343,"1,172.00",0.12,1009171,0,0,0,0,,,1,1000,908254,1110088,1000,1
طپناه904,اختيارف پناه-13000-14040923,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
ضطعام1001,اختيارخ طعام-8000-14041015,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
مهيا061,مرابحه مهيا پروتئين-آگاه061003,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,5000,1000000,0,0,0
مبين,مبين انرژي خليج فارس,238,3263421,43974679690,13390,13170,13450,60.00,0.45,13420,30.00,0.22,13170,13700,1803,7.44,3,300000,13380,13500,2217,2
ضصاد9030,اختيارخ وبصادر-550-1404/09/19,4206,1868802,58971864000,19,18,39,20.00,105.26,32,13.00,68.42,17,41,,,15,15000,38,44,2000,2
فغدير,آهن و فولاد غدير ايرانيان,349,4840775,21376327991,4396,4435,4400,4.00,0.09,4402,6.00,0.14,4377,4500,646,6.81,2,12751,4381,4400,36210,1
قجام,فرآوردههاي غذايي وقندتربت‌جام‌,101,4227381,32015899330,7360,7500,7580,220.00,2.99,7570,210.00,2.85,7500,7580,2353,3.22,1,184131,7580,7680,20000,2
طخاور910,اختيارف خاور-1300-14040930,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,50,1,0,0,0
ضاطلس100009,اختيارخ اطلس-90000-14041021,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,22,2,0,0,0
طرويين904,اختيارف رويين-10000-14040930,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
طپادا1025,اختيارف پادا-260000-14041007,0,0,0,1,0,1,0,0,1,0,0,0,0,,,3,3000,1,0,0,0
طاطلس100008,اختيارف اطلس-85000-14041021,2,20,130000000,1,6500,6500,"6,499.00","649,900.00",6500,"6,499.00","649,900.00",6500,6500,,,1,20,4500,6000,30,1
طفزر1223,اختيارف فزر-120000-14041210,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
صترا710,صكوك مرابحه بترانس710-3ماهه23%,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,9980,995000,1004950,7450,1
پلوله,گازلوله‌,47,833912,4832880300,5650,5810,5810,160.00,2.83,5770,120.00,2.12,5710,5810,-453,-12.74,1,162000,5780,0,0,0
ضپادا1019,اختيارخ پادا-200000-14041007,0,0,0,1,0,1,0,0,1,0,0,0,0,,,2,2000,1,0,0,0
طتاص1106,اختيارف تاصيكو-10000-04/11/01,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
ضتوان1106,اختيارخ توان-28000-14041126,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,1000,150,0,0,0
طفار1002,اختيارف فارس-7000-1404/10/10,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
صآريا62,صكوك مرابحه كيمياتك62بدون ضامن,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,7500,1000000,0,0,0
سهرمز,سيمان‌هرمزگان‌,755,2156144,1.54927E+11,71290,72490,73000,"1,710.00",2.40,71850,560.00,0.79,71200,73090,9583,7.5,1,800,72510,73000,13049,1
تيپيكو,سرمايه گذاري دارويي تامين,263,2722844,97863245550,34910,35500,35950,"1,040.00",2.98,35790,880.00,2.52,35500,35950,4296,8.33,48,2853156,35950,0,0,0
صخوز42,صكوك مرابحه فخوز42-بدون ضامن,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,7500,1000000,0,0,0
ضستا1136,اختيارخ شستا-810-1404/11/08,0,0,0,650,0,650,0,0,650,0,0,0,0,,,1,100,1,796,100,1
مهرگان,گروه مالي مهرگان تامين پارس,7087,44346188,3.70646E+11,8130,8250,8370,240.00,2.95,8360,230.00,2.83,8210,8370,1191,7.02,426,42568231,8370,0,0,0
بزاگرس,نيروگاه زاگرس كوثر,177,7340795,37489203465,4959,5107,5107,148.00,2.98,5107,148.00,2.98,5106,5107,490,10.42,52,4084589,5107,5160,5000,1
مشير602,مشاركت ش شيراز602-3ماهه20.5%,0,0,0,1050000,0,1050000,0,0,1050000,0,0,0,0,,,1,5000,997500,0,0,0
انار,صندوق س.انارنماد ارزش-درسهام,78,7123860,2.11972E+11,29710,29750,29760,50.00,0.17,29760,50.00,0.17,29740,29760,,,2,44584,29750,29760,1752600,2
نمرينو,ايران‌ مرينوس‌,127,716801,5512652500,7690,7880,7740,50.00,0.65,7690,0,0,7630,7880,400,19.23,2,5237,7680,7750,23295,1
طتوان1017,اختيارف توان-20000-14041021,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
نارين,صندوق س ارزش آفرين فولاد-سهام,7,249659,3645080300,14540,14720,14700,160.00,1.10,14600,60.00,0.41,14600,14720,,,1,255542,14700,14820,4037,2
حرهشا,رهشاد سپاهان (سهامي عام,119,973292,18217947080,18200,18600,18740,540.00,2.97,18720,520.00,2.86,18590,18740,133,140.75,1,3900,18210,0,0,0
ضران1011,اختيارخ خودران-16000-04/10/24,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
ضجهش1110,اختيارخ جهش-20000-1404/11/14,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
طستا1242,اختيارف شستا-1610-1404/12/13,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,10,21,0,0,0
