,,,,,,,,,,,,,,,,,,,,,,
دیده بان بازار : 1404/09/19 - زمان آخرین معامله : 16:50:47,,,,,,,,,,,,,,,,,,,,,,
نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین,EPS,P/E,خرید - تعداد,خرید - حجم,خرید - قیمت,فروش - قیمت,فروش - حجم,فروش - تعداد
حپرتو,پرتو بار فرابر خليج فارس,72,1860145,24739928500,12920,13300,13300,380.00,2.94,13300,380.00,2.94,13300,13300,1084,12.27,69,4369032,13300,13840,3896,1
كاما,باما,1750,173443953,5.07093E+11,2840,2913,2925,85.00,2.99,2924,84.00,2.96,2879,2925,512,5.71,51,16086440,2925,0,0,0
طذوب9024,اختيارف ذوب-280-1404/09/19,0,0,0,1,0,1,0,0,1,0,0,0,0,,,0,0,0,1,50,1
صفارس804,صكوك اجاره فارس804-بدون ضامن,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,24000,995000,1004950,7500,1
كرمان5121,مرابحه كرمان موتور-سرآمد051223,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,5000,995000,1004950,5000,1
زمگسا,كشاورزي‌ ودامپروي‌ مگسال‌,193,318694,18466086700,56390,57500,58080,"1,690.00",3.00,57940,"1,550.00",2.75,57000,58080,8738,6.63,1,365,58070,58280,263,1
آپ2,آسان پرداخت پرشين,1,15671043,1.76299E+11,11330,11250,11250,-80.00,-0.71,11250,-80.00,-0.71,11250,11250,57,197.37,0,0,0,0,0,0
طهرم1255,اختيارف اهرم-30000-1404/12/26,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,40,1250,0,0,0
ومعادن2,توسعه‌معادن‌وفلزات‌,3,100000000,2.39E+11,2379,2390,2390,11.00,0.46,2390,11.00,0.46,2390,2390,420,5.69,0,0,0,0,0,0
ضهرم1020,اختيارخ اهرم-16000-1404/10/24,7,32,436695000,13582,13400,14000,418.00,3.08,13647,65.00,0.48,13400,14000,,,1,10,11,14000,167,1
طذوب1018,اختيارف ذوب-380-1404/10/17,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
صخابر06,صكوك اجاره اخابر06-3ماهه23%,0,0,0,899697,0,899697,0,0,899697,0,0,0,0,,,1,5000,899697,0,0,0
سيسكو,فولاد سيرجان ايرانيان,3806,35292282,84615674815,2414,2376,2385,-29.00,-1.20,2402,-12.00,-0.50,2376,2425,186,12.91,2,8106,2384,2385,39541,1
آسمان08,مرابحه آسمان بيكران هشتم080428,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,5000,1000000,1010000,5000,1
ضملت9033,اختيارخ وبملت-1400-1404/09/19,128,67789,67789000,1,1,1,0,0,1,0,0,1,1,,,1,1000,1,1,484735,492
صفارس88,صكوك اجاره فارس88-بدون ضامن,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,5600,995000,1004950,5600,1
ضجار1230,اختيارخ وتجارت-360-1404/12/19,0,0,0,144,0,144,0,0,144,0,0,0,0,,,1,100,1,0,0,0
