symbol,days_to_expiry,T_years,strike_pct,strike,spot,predicted_spot,sigma_annual,call_price,put_price,expected_return_pct,mc_call_price,mc_put_price,mc_call_expected_return_pct,mc_put_expected_return_pct,dividend_yield,recommendation,mc_call_price_hp,mc_put_price_hp,mc_call_expected_return_hp,mc_put_expected_return_hp
ولبهمن,30,0.11904761904761904,0.9,2415.6844192422514,2684.0937991580568,2660.314943958876,0.14171143444880105,274.75568781256607,0.6015200741600424,0.10126758394764165,274.1764340628794,0.6071164204316742,-0.0021082502578865653,0.0093036733303482,0.0,hold,275.1417302150967,0.4994584704709012,0.0014050388023048757,-0.16967281404807505
ولبهمن,30,0.11904761904761904,1.0,2684.0937991580568,2684.0937991580568,2660.314943958876,0.14171143444880105,55.542843846592405,49.15974626592515,-0.008859174447122394,57.735710225326464,47.998904552897606,0.03948062840985758,-0.023613663641550896,0.0,hold,56.729267335600404,50.15699224952756,0.021360510316772118,0.020285824467195183
ولبهمن,30,0.11904761904761904,1.1,2952.5031790738626,2684.0937991580568,2660.314943958876,0.14171143444880105,1.517106044198215,262.9050786212706,-0.09896288586102041,1.6803127289891187,262.5192527074241,0.10757763797398742,-0.0014675483481334155,0.0,buy_call,1.6491634664827282,263.7101674869867,0.08704561081246308,0.003062279625552034
ولبهمن,60,0.23809523809523808,0.9,2415.6844192422514,2684.0937991580568,2636.746749786058,0.14171143444880105,284.03824572475423,4.1529519594958515,0.0915112623084886,278.50385773328713,4.342996630954218,-0.019484657699337323,0.045761345980375144,0.0,hold,284.89885007269436,3.90947417354425,0.0030298889705652147,-0.058627643258642115
ولبهمن,60,0.23809523809523808,1.0,2684.0937991580568,2684.0937991580568,2636.746749786058,0.14171143444880105,80.40358207444092,67.65256668615939,-0.01763986392236014,84.31068607608368,67.2823968792433,0.04859365591480001,-0.005471629903316383,0.0,hold,79.6154308021498,67.87560235313532,-0.009802439791319425,0.003296780564299878
ولبهمن,60,0.23809523809523808,1.1,2952.5031790738626,2684.0937991580568,2636.746749786058,0.14171143444880105,8.660982163006793,263.04424515170285,-0.10694533083850927,8.891052892266293,261.8422874911255,0.026564046078075255,-0.004569412495164723,0.0,hold,8.28217089609661,263.76600194098233,-0.043737680066838217,0.002743860786094105
ولبهمن,90,0.35714285714285715,0.9,2415.6844192422514,2684.0937991580568,2613.38735035682,0.14171143444880105,294.8033294455381,9.200538959782449,0.0818413736246989,288.1738316959288,11.192266377498823,-0.022487865934478976,0.2164794286968021,0.0,strong_buy_put,294.7572724894649,8.523754214420764,-0.00015622942983652932,-0.0735592499874255
ولبهمن,90,0.35714285714285715,1.0,2684.0937991580568,2684.0937991580568,2613.38735035682,0.14171143444880105,100.20771881346104,81.10392929129466,-0.026342763737770884,106.05732209404037,75.58254296609752,0.058374777410795074,-0.06807791402271533,0.0,buy_call,99.19432425608728,81.51744923095193,-0.01011293909664,0.005098642485890613
ولبهمن,90,0.35714285714285715,1.1,2952.5031790738626,2684.0937991580568,2613.38735035682,0.14171143444880105,18.281415913239414,265.67662735466183,-0.11485705794342813,17.418358050679903,267.0862756802222,-0.04720957428327443,0.005305880082851802,0.0,hold,18.929665131641865,265.69775712938883,0.035459464490000966,7.953192923814864e-05
پاداش,30,0.11904761904761904,0.9,17726.176128533138,19695.751253925708,19437.297617336364,0.14812966640065073,2017.76253307168,6.0324308314260975,0.09653077326975786,1984.645392716457,5.418004753129711,-0.016412803693409906,-0.10185381241265434,0.0,hold,2025.897162458831,5.519887403021855,0.004031509780671451,-0.08496465897862186
پاداش,30,0.11904761904761904,1.0,19695.751253925708,19695.751253925708,19437.297617336364,0.14812966640065073,424.9252543188013,378.08639115471124,-0.01312230405721789,421.44636148799395,372.51329517336586,-0.00818707006808615,-0.014740271302346054,0.0,hold,427.76339744682963,373.1826887491082,0.006679158508896241,-0.012969793466055934
پاداش,30,0.11904761904761904,1.1,21665.32637931828,19695.751253925708,19437.297617336364,0.14812966640065073,14.373071180062993,1932.425447092137,-0.10283845823383457,15.971642077496453,1959.875610283791,0.11121985533967511,0.01420503090194783,0.0,buy_call,15.234424347660394,1934.3764908246667,0.059928261455505095,0.001009634672046819
پاداش,60,0.23809523809523808,0.9,17726.176128533138,19695.751253925708,19182.235487951042,0.14812966640065073,2091.1808403597715,37.39601087220626,0.08214176305481599,2132.0338101071993,37.46526941386494,0.019535837818980467,0.0018520302043807423,0.0,hold,2097.0648417439998,37.82225091457686,0.002813721927184411,0.01139800830166606
پاداش,60,0.23809523809523808,1.0,19695.751253925708,19695.751253925708,19182.235487951042,0.14812966640065073,614.4759987394282,520.9096608560976,-0.026072413250665567,594.1680273833177,527.0193722608254,-0.03304925074009627,0.0117289270363823,0.0,hold,618.9386651488583,519.3811718792986,0.007262556094273916,-0.002934268821751228
پاداش,60,0.23809523809523808,1.1,21665.32637931828,19695.751253925708,19182.235487951042,0.14812966640065073,74.88675895671076,1941.5389126776245,-0.11461128477333245,69.16034206420346,1906.2860970384422,-0.07646768230172078,-0.018157151221122946,0.0,hold,75.67603718184729,1936.4661750488456,0.010539623240909382,-0.0026127406438550115
پاداش,90,0.35714285714285715,0.9,17726.176128533138,19695.751253925708,18930.520361380994,0.14812966640065073,2175.4926041422677,79.75305860216895,0.06794156980699688,2107.823357900433,81.64959258915943,-0.031105252260103432,0.023780078409919428,0.0,hold,2167.581440554951,82.20579917888706,-0.003636492981981897,0.030754188236881103
