symbol,strike,days_to_expiry,mc_call_price,mc_put_price,mc_call_return_pct,mc_put_return_pct
ولبهمن,2415.684419242252,30,245.7503355578258,1.1508985687103337,-0.10556779546826801,0.913316975027706
ولبهمن,2684.0937991580568,30,41.04965004828262,65.53358046921338,-0.2609371936075065,0.33307401780951973
ولبهمن,2952.5031790738626,30,0.7770997297761335,290.89556724716664,-0.4877749431241453,0.10646613893000481
ولبهمن,2415.684419242252,60,226.28239941339726,9.210343163440095,-0.2033382728582438,1.2177822554340805
ولبهمن,2684.0937991580568,60,51.902552311313976,100.40781813129534,-0.35447462697295656,0.4841686435503288
ولبهمن,2952.5031790738626,60,4.170996865675178,316.1824145182216,-0.5184152573953399,0.20201228632039797
ولبهمن,2415.684419242252,90,216.93262861947923,20.200495728643617,-0.2641445772424517,1.1955774348594541
ولبهمن,2684.0937991580568,90,60.12432825552788,127.21267143122556,-0.4000030240439792,0.5685142821419381
ولبهمن,2952.5031790738626,90,7.634616614603055,342.4740000925609,-0.5823837359843632,0.2890633380232554
پاداش,17726.176128533138,30,1729.9720709428755,11.416031718734235,-0.14262850925807186,0.8924430362735591
پاداش,19695.751253925708,30,283.48966833286886,541.8303098295489,-0.33284815281847197,0.43308598909034657
پاداش,21665.32637931828,30,5.936329076168964,2222.1967944559274,-0.5869825591343834,0.14995214837386395
پاداش,17726.176128533138,60,1542.626527043647,89.23710686719534,-0.2623179701769599,1.3862734229098965
پاداش,19695.751253925708,60,331.461701612202,854.2279667405644,-0.46057827760208403,0.6398773740089007
پاداش,21665.32637931828,60,28.073038393807632,2465.420147917608,-0.6251268076638807,0.26982783183958237
پاداش,17726.176128533138,90,1407.2435143229916,213.10434644109108,-0.3531379919915537,1.6720523347463885
پاداش,19695.751253925708,90,379.8833731325811,1112.0403936512846,-0.5035633432197184,0.7791577612293221
پاداش,21665.32637931828,90,49.07798879134692,2763.053845026722,-0.6789915314908288,0.4038045533614044
وسپهح,2535.9176663270164,30,278.14758998805655,1.608893220575925,-0.03918820180361903,-0.0496370487549992
وسپهح,2817.686295918907,30,64.2457611729199,63.523191627110904,-0.04384132933920243,0.05013100613512873
وسپهح,3099.454925510798,30,3.7076011490635947,285.0120743711058,0.035120351238647186,0.025298673721087163
وسپهح,2535.9176663270164,60,291.25712947188623,9.771828120080707,-0.03619011141952211,0.16639187587943086
وسپهح,2817.686295918907,60,85.13787295947846,90.51615961203755,-0.12172371592358049,0.08335375571927005
وسپهح,3099.454925510798,60,13.322764969701849,293.6152034364233,-0.13502909767281746,0.039541012531306985
وسپهح,2535.9176663270164,90,298.83763552163,19.986903541086562,-0.05523421746919355,0.21199520088850046
وسپهح,2817.686295918907,90,105.69353575994637,112.34105915345636,-0.12290832079593912,0.118378719934002
وسپهح,3099.454925510798,90,25.715162786226095,306.17541523830903,-0.12242530308294063,0.059389886161827186
شكربن,6125.997637857292,30,658.8772644478569,9.794977981894135,-0.061410415995433544,0.4507236034348466
شكربن,6806.664042063658,30,159.7419491449085,175.35625813953422,-0.0963156204616765,0.09201568733755121
شكربن,7487.330446270024,30,10.200451612702308,706.2232826489167,-0.2230273926800746,0.044725859039674375
شكربن,6125.997637857292,60,683.6173755064125,36.74223490279829,-0.07397295495337325,0.2911189224211572
شكربن,6806.664042063658,60,228.1186742481602,244.26094535412108,-0.10387593664854378,0.09915630068419079
شكربن,7487.330446270024,60,38.596891667788526,758.7997161175628,-0.21553121699153344,0.09290125119262235
شكربن,6125.997637857292,90,685.109732698507,66.54405892461432,-0.1184300571207163,0.25840438604722077
شكربن,6806.664042063658,90,259.87258498329146,323.6620973287407,-0.17765536479961422,0.20964245252480157
شكربن,7487.330446270024,90,69.31904935886413,804.6287186520904,-0.22058445728314166,0.12329170382692338
وارس,5048.393873696178,30,324.290774154549,14.998828336345056,-0.43539877489287027,9.466577903560628
وارس,5609.326526329087,30,26.970053731386265,276.7304678570597,-0.7716034288916658,1.6419528092158333
وارس,6170.259178961996,30,0.2602755994810147,807.787012848747,-0.9262380202516198,0.46927100571134245
وارس,5048.393873696178,60,174.5741858457762,107.2229141014546,-0.7062870703001257,10.340781145163405
وارس,5609.326526329087,60,15.247280598759174,504.2334236792462,-0.9107635178151069,2.496372186011225
وارس,6170.259178961996,60,0.35117091006742235,1048.3979622125453,-0.981882987729767,0.9027054961996768
وارس,5048.393873696178,90,107.39693218067265,260.5646318247272,-0.8260713784192905,11.64083997117037
وارس,5609.326526329087,90,11.722624427084282,715.3941389656945,-0.9449328582565696,3.136304802791816
وارس,6170.259178961996,90,0.417878515908733,1266.402224108086,-0.9896422625474804,1.2721400913139407
رابين,18134.00189611104,30,1900.9003609252309,74.37861071214208,-0.10050790508328575,0.3452404734048514
رابين,20148.89099567893,30,519.4462772103092,720.5554971301552,-0.1958995278006542,0.20478062850043705
رابين,22163.780095246828,30,73.09310828095568,2249.233724671151,-0.20320195192684215,0.09509607778768028
رابين,18134.00189611104,60,1851.2551833579769,254.6915754806445,-0.18560764403758015,0.4795833669026264
رابين,20148.89099567893,60,671.9323941679665,1075.1922821304445,-0.27492270588231565,0.2938761249281186
رابين,22163.780095246828,60,161.83121938011143,2620.3680478650213,-0.3883925855274485,0.20521131535565432
رابين,18134.00189611104,90,1862.2411204160262,434.0213856126147,-0.23377860567907466,0.5150910852761943
رابين,20148.89099567893,90,778.6794311345817,1386.4848344798402,-0.32113137960086613,0.3814875046343573
رابين,22163.780095246828,90,274.8301833122576,2816.667484144705,-0.3655959813114806,0.22979758695403021
