symbol,days_to_expiry,strike,spot,predicted_spot,T_years,sigma_annual,dividend_yield,market_call,market_put,mc_call_price,mc_put_price,mc_call_std,mc_put_std,mc_call_return_pct,mc_put_return_pct
ولبهمن,30,2415.684419242252,2684.0937991580568,2660.314943958876,0.119047619047619,0.141711434448801,0.0,274.75568781256607,0.6015200741600424,245.7503355578258,1.1508985687103337,127.20195367086099,9.450541183998391,-0.10556779546826801,0.913316975027706
ولبهمن,30,2684.0937991580568,2684.0937991580568,2660.314943958876,0.119047619047619,0.141711434448801,0.0,55.542843846592405,49.15974626592515,41.04965004828262,65.53358046921338,70.88445757814256,83.06006108291403,-0.2609371936075065,0.33307401780951973
ولبهمن,30,2952.5031790738626,2684.0937991580568,2660.314943958876,0.119047619047619,0.141711434448801,0.0,1.517106044198215,262.9050786212706,0.7770997297761335,290.89556724716664,8.669010048025594,127.83525518389163,-0.4877749431241453,0.10646613893000481
ولبهمن,60,2415.684419242252,2684.0937991580568,2636.746749786058,0.238095238095238,0.141711434448801,0.0,284.03824572475423,4.152951959495852,226.28239941339726,9.210343163440095,167.7803587240585,33.312397040724036,-0.2033382728582438,1.2177822554340805
ولبهمن,60,2684.0937991580568,2684.0937991580568,2636.746749786058,0.238095238095238,0.141711434448801,0.0,80.40358207444092,67.65256668615939,51.902552311313976,100.40781813129534,95.05021563646386,119.96427105853368,-0.35447462697295656,0.4841686435503288
ولبهمن,60,2952.5031790738626,2684.0937991580568,2636.746749786058,0.238095238095238,0.141711434448801,0.0,8.660982163006793,263.04424515170285,4.170996865675178,316.1824145182216,24.64540151782662,171.94960477990284,-0.5184152573953399,0.20201228632039797
ولبهمن,90,2415.684419242252,2684.0937991580568,2613.38735035682,0.3571428571428571,0.141711434448801,0.0,294.8033294455381,9.200538959782447,216.93262861947923,20.200495728643617,193.37351034127167,56.66405342525386,-0.2641445772424517,1.1955774348594541
ولبهمن,90,2684.0937991580568,2684.0937991580568,2613.38735035682,0.3571428571428571,0.141711434448801,0.0,100.20771881346104,81.10392929129466,60.12432825552788,127.21267143122556,115.24326279011336,143.94487176895876,-0.4000030240439792,0.5685142821419381
ولبهمن,90,2952.5031790738626,2684.0937991580568,2613.38735035682,0.3571428571428571,0.141711434448801,0.0,18.28141591323941,265.67662735466183,7.634616614603055,342.4740000925609,38.929058532144765,203.98258298392977,-0.5823837359843632,0.2890633380232554
پاداش,30,17726.176128533138,19695.751253925708,19437.297617336364,0.119047619047619,0.1481296664006507,0.0,2017.76253307168,6.0324308314260975,1729.9720709428755,11.416031718734235,957.2698275042343,85.88966021747741,-0.14262850925807186,0.8924430362735591
پاداش,30,19695.751253925708,19695.751253925708,19437.297617336364,0.119047619047619,0.1481296664006507,0.0,424.9252543188013,378.0863911547112,283.48966833286886,541.8303098295489,507.2113576986468,640.4877433392323,-0.33284815281847197,0.43308598909034657
پاداش,30,21665.32637931828,19695.751253925708,19437.297617336364,0.119047619047619,0.1481296664006507,0.0,14.373071180062992,1932.425447092137,5.936329076168964,2222.1967944559274,59.64354388578433,983.6208649445696,-0.5869825591343834,0.14995214837386395
پاداش,60,17726.176128533138,19695.751253925708,19182.23548795104,0.238095238095238,0.1481296664006507,0.0,2091.1808403597715,37.39601087220626,1542.626527043647,89.23710686719534,1221.7532855219483,292.533083060413,-0.2623179701769599,1.3862734229098965
پاداش,60,19695.751253925708,19695.751253925708,19182.23548795104,0.238095238095238,0.1481296664006507,0.0,614.4759987394282,520.9096608560976,331.461701612202,854.2279667405644,656.7607267220751,938.7435567916344,-0.46057827760208403,0.6398773740089007
پاداش,60,21665.32637931828,19695.751253925708,19182.23548795104,0.238095238095238,0.1481296664006507,0.0,74.88675895671076,1941.5389126776245,28.073038393807632,2465.420147917608,177.7429512216336,1305.2291173218025,-0.6251268076638807,0.26982783183958237
پاداش,90,17726.176128533138,19695.751253925708,18930.520361380997,0.3571428571428571,0.1481296664006507,0.0,2175.492604142268,79.75305860216895,1407.2435143229916,213.10434644109108,1402.7126911136781,518.9637722895501,-0.3531379919915537,1.6720523347463885
پاداش,90,19695.751253925708,19695.751253925708,18930.520361380997,0.3571428571428571,0.1481296664006507,0.0,765.2202309079566,625.0375418551484,379.8833731325811,1112.0403936512846,792.88401740507,1174.673659853917,-0.5035633432197184,0.7791577612293221
پاداش,90,21665.32637931828,19695.751253925708,18930.520361380997,0.3571428571428571,0.1481296664006507,0.0,152.88689740577593,1968.2610648402588,49.07798879134692,2763.053845026722,281.5419734548019,1547.5563733417587,-0.6789915314908288,0.4038045533614044
وسپهح,30,2535.9176663270164,2817.686295918907,2817.411480495984,0.119047619047619,0.1646765051295811,0.0,289.49227154598884,1.692925022454034,278.14758998805655,1.608893220575925,155.34367298332606,11.966965757889266,-0.03918820180361903,-0.0496370487549992
وسپهح,30,2817.686295918907,2817.686295918907,2817.411480495984,0.119047619047619,0.1646765051295811,0.0,67.19152703862414,60.49073044790839,64.2457611729199,63.523191627110904,96.29688580635322,89.32279228769949,-0.04384132933920243,0.05013100613512873
وسپهح,30,3099.454925510798,2817.686295918907,2817.411480495984,0.119047619047619,0.1646765051295811,0.0,3.581806834951124,277.9795601770552,3.7076011490635947,285.0120743711058,23.37118736915022,151.30541249632566,0.035120351238647186,0.025298673721087163
وسپهح,60,2535.9176663270164,2817.686295918907,2817.13669187644,0.238095238095238,0.1646765051295811,0.0,302.1935476309095,8.377825945257882,291.25712947188623,9.771828120080707,206.64434941127195,39.72133393768856,-0.03619011141952211,0.16639187587943086
